,cid,name,atc_code
55,57,"2-(3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol",
56,58,2-Oxobutanoic acid,
57,59,2-Phosphoglyceric acid,
58,60,"[[5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate",
59,61,"2,3-Diphosphoglyceric acid",
60,62,"2,4,5-Trichlorocyclohexa-2,5-dien-1-ol",
61,63,"2,4-Diaminopentanoic acid",
62,64,"2,5-Dichloro-2,5-cyclohexadiene-1,4-diol",
63,65,"2,5-Dichlorohydroquinone",
64,66,"2,5-Dichlorophenol",
65,67,"2,5-Diketogluconsaure",
66,68,"2-C-Methyl-D-erythritol-2,4-cyclopyrophosphate",
67,69,"2-Hydroxy-6-oxo-2,4-heptadienoic acid",
68,70,4-Methyl-2-oxopentanoic acid,
69,71,2-Oxoadipic acid,
70,72,"3,4-Dihydroxybenzoic acid",
71,73,"Adenosine-3',5'-bisphosphate (pAp)",
72,74,3-oxobutanoyl-CoA,
73,75,3-Aminopropanal,
74,76,3-Hydroxyandrost-5-en-17-one,
75,77,2-Isopropylmalic acid,
76,78,3-Chloroalanine,
77,79,3-Cyanopyridine,
78,80,"4,5-Dihydroxy-3-oxocyclohexene-1-carboxylic acid",
79,81,"4,5,6-Trihydroxy-2-oxo-7-phosphonooxyheptanoic acid",
80,82,"1-Cyclohexene-1-carboxylic acid, 5-((1-carboxyethenyl)oxy)-4-hydroxy-3-(phosphonooxy)-",
81,83,3-Phosphonylpyruvic acid,
82,84,S-(Hydrogen 3-hydroxy-3-methylglutaryl)coenzyme A,
83,85,Carnitine,
84,86,3-Hydroxyanthranilic acid,
85,87,3-Hydroxyisobutyric acid,
86,88,3-Hydroxyisobutyryl-CoA,
87,89,3-Hydroxykynurenine,
88,90,3-hydroxyhexanedioyl-CoA,
89,91,3-(3-Hydroxyphenyl)propanoic acid,
90,92,"6'-Methoxycinchonan-3,9-diol",
91,93,3-Oxoadipic acid,
92,94,CID94; (Acyl-CoA); [M+H]+,
93,95,"2,4,5,6-Tetrahydroxy-3-oxohexanoic acid",
94,96,Acetoacetic acid,
95,97,"3,5-Dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one",
96,98,3-Mercaptopyruvic acid,
97,99,3-Methylcrotonyl CoA,
98,100,"4-Hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid",
99,101,3-Hydroxybenzaldehyde,
100,102,3-Hydroxybenzyl alcohol,
101,103,3-oxo-cholyl-CoA; (Acyl-CoA); [M+H]+,
102,104,"5-Oxo-4,5-dihydro-2-furylacetic acid",
103,105,Phosphohydroxypyruvic acid,
104,106,dl-O-Phosphoserine,
105,107,3-Phenylpropionic acid,
106,108,3-Pyridineacetic acid,
107,109,Cysteine sulfinic acid,
108,110,3-Sulfinylpyruvic acid,
109,111,3-Ureidopropionic acid,
110,112,3-Hydroxy-2-oxo-4-phosphonooxybutanoate,
111,113,3-Hydroxy-2-oxo-4-phosphonooxybutanoic acid,
112,114,3-Pyridinebutanoic acid,
113,115,"(5-Amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate",
114,116,"4-Amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid",
115,117,5-amino-1H-imidazole-4-carboxylic acid,
116,118,4-Aminobutanal,
117,119,Gamma-Aminobutyric Acid,
118,120,4-Carboxymethylenebut-2-en-4-olide,
119,121,4-Diphosphocytidyl-2-C-methyl-D-erythritol (CDP-ME),
120,122,"4,6-Dioxooct-2-enedioic acid",
121,123,Tiformin,
122,124,4-Hydroxy-2-oxopentanoic acid,
123,125,4-Hydroxybenzyl alcohol,
124,126,4-Hydroxybenzaldehyde,
125,127,4-Hydroxyphenylacetic acid,
126,128,"3-(4-oxo-4,5-dihydro-1H-imidazol-5-yl)propanoic acid",
127,129,4-Methylpentanal,
128,130,"2-Hydroxy-4-oxobutane-1,2,4-tricarboxylic acid",
129,131,"3-[(2-Hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid",
130,132,"2-[3-[(2-Hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid",
131,133,4-Trimethylammoniobutanal,
132,134,4-Trimethylammoniobutanoate,
133,135,4-Hydroxybenzoic acid,
134,136,CID 136,
135,138,5-Aminovaleric acid,
136,139,"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol",
137,140,27-Deoxy-5alpha-cyprinol,
138,141,"(3,4-Dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate",
139,142,"9H-Purin-6-amine, 9-(5-deoxy-alpha-D-xylofuranosyl)-",
140,143,CID 143,
141,144,5-Hydroxytryptophan,
142,145,"2,3-Dihydroxy-5-oxohexanedioic acid",
143,146,CID 146,
144,147,CID 147,
145,148,CID 148,
146,149,"beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-",
147,150,"(5-Amino-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate",
148,151,Phosphoribosyl-N-formylglycineamide,
149,152,n-Glycyl-5-o-phosphonopentofuranosylamine,
150,153,1-(5-o-Phosphonopentofuranosyl)-1h-imidazol-5-amine,
151,154,CID 154,
152,155,5-Ureidoimidazole-4-carboxylic acid,
153,156,"5,6,7,8-Tetrahydropteridine",
154,157,"2,3,4,6-Tetrahydroxy-5-oxohexanoic acid",
155,158,7-[3-Hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid,
156,159,"5-[5-Hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid",
157,160,"7-[3,5-Dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid",
158,161,"[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate",
159,162,"6-Amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",
160,163,"7-[2-[3-[[4-[[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-7-oxoheptanoic acid",
161,164,6-Diazo-5-oxo-norleucine,
162,165,"5-Amino-2,6-dihydroxy-6-oxohex-1-ene-1-diazonium",
163,166,"1-(2-amino-4-oxo-4a,5,6,7,8,8a-hexahydro-3H-pteridin-6-yl)propane-1,2-dione",
164,167,"6,7-Dihydropteridine",
165,168,Hex6P(?1-4)Hex,
166,169,"5,12-Dihydroxyicosa-6,8,10,14-tetraenoic acid",
167,170,CID 170,
168,171,CID 171,
169,172,"Cholesta-5,7-dien-3beta-ol",
170,173,8-Amino-7-oxononanoic acid,
171,174,Ethylene Glycol,
172,175,Acetate,
173,177,Acetaldehyde,
174,178,Acetamide,
175,179,Acetoin,
176,180,Acetone,
177,181,12-Hydroxy Taurolithocholic Acid Sulfate Disodium Salt,
178,182,"[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate",
179,183,"[3-Acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate",
180,184,"4-[[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]amino]-2-amino-4-oxobutanoic acid",
181,185,N-Acetyl-DL-glutamic acid,
182,186,Acetylphosphate,
183,188,Hex(?1-4)Hex-O-Ac,
184,189,3-Acetyloxy-2-aminopropanoic acid,
185,190,Adenine,
186,191,"2-(6-Aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",
187,192,Adenosine diphosphate ribose,
188,193,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid",
189,194,Bis(5'-adenylyl) diphosphate,
190,195,"2-[[9-[3,4-Dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-6-yl]amino]butanedioic acid",
191,196,Adipic Acid,
192,197,"[5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",
193,198,"[[5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",
194,199,Agmatine,
195,200,"1H-imidazole-4-carboxamide, 5-amino-1-(5-O-phosphono-beta-D-ribofuranosyl)-",
196,201,"3,7,11,15,19,23,27-Heptamethyloctacosa-2,6,10,14,18,22,26-heptaenyl phosphono hydrogen phosphate",
197,202,"3,7,11,15,19,23-Hexamethyltetracosa-2,6,10,14,18,22-hexaenyl phosphono hydrogen phosphate",
198,203,Allantoic acid,
199,204,Allantoin,
200,205,DL-Threonine,
201,206,Hexose,
202,207,2-Amino-6-oxohexanoic acid,
203,208,6-o-Phosphonohexopyranose,
204,209,"5-Acetamido-2-[2-[5-acetamido-6-[5-acetamido-6-[(3-acetamido-4-amino-4-oxobutanoyl)amino]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",
205,210,6-Sialyl-N-acetyllactosamine*,
206,211,"5,6-Dimethyl-1-pentofuranosyl-1h-benzimidazole",
207,212,"[5-(5,6-Dimethylbenzimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",
208,213,"7-[3-(3-Hydroxyoct-1-en-1-yl)-2,6-dioxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid (non-preferred name)",
209,214,8-iso Prostaglandin E1,
210,215,Aminoacetone,
211,216,(4-Amino-2-methylpyrimidin-5-YL)methyl dihydrogen phosphate,
212,217,(4-Amino-2-methylpyrimidin-5-yl)methyl trihydrogen diphosphate,
213,218,CID 218,
214,219,2-Amino-3-oxobutanoic acid,
215,220,Aminoparathion,
216,221,CID 221,
217,222,Ammonia,
218,223,Ammonium,
219,224,"[5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",
220,225,3-Epiandrosterone,
221,226,Amino(phosphanyl)methanol,
222,227,Anthranilic acid,
223,228,9-{5-O-[Hydroxy(sulfooxy)phosphoryl]pentofuranosyl}-9H-purin-6-amine,
224,229,Pentose,
225,230,5-o-Phosphonopentose,
226,231,"5,8,11,14-Eicosatetraenoic acid, (5Z,8Z,11Z,14Z)-",
227,232,DL-Arginine,
228,233,Hydrogen arsenate,
229,234,Arsenic acid,
230,235,CID 235,
231,236,DL-Asparagine,
232,238,Triphosadenine,
233,239,beta-Alanine,
234,240,Benzaldehyde,
235,241,Benzene,
236,242,Benzoate,
237,243,Benzoic Acid,
238,245,LacNAc,
239,246,17-Oxoandrostan-3-yl hydrogen sulfate,
240,249,Betaine aldehyde,
241,250,3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid,
242,251,3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methylidene]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-yl)methylidene]-4-methylpyrrol-3-yl]propanoic acid,
243,252,CID 252,
244,253,"5-(2-Oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid",
245,254,"Biphenyl-2,3-diol",
246,255,Bis(4-nitrophenyl) hydrogen phosphate,
247,256,[5-Hydroxy-2-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-3-(3-hydroxytetradecanoylamino)oxan-4-yl] 3-hydroxytetradecanoate,
248,257,[3-Hydroxy-2-(hydroxymethyl)-5-(3-hydroxytetradecanoylamino)-6-phosphonooxyoxan-4-yl] 3-hydroxytetradecanoate,
249,258,"Blasticidin S, Hydrochloride",
250,260,Hydrogen bromide,
251,261,Butyraldehyde,
252,262,"2,3-Butanediol",
253,263,1-Butanol,
254,264,Butyric Acid,
255,265,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] butanethioate",
256,266,Butanoyl dihydrogen phosphate,
257,267,"6-[[4-[2-[2-[3-Acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",
258,268,"4-[2-[2-[3-Acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-[(1-hydroxy-1-oxopropan-2-yl)amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid",
259,269,"6-[[4-[2-[2-[3-Acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",
260,270,"6-[[4-[2-[2-[3-Acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",
261,271,Calcium ion,
262,272,CID 272,
263,273,Cadaverine,
264,274,Acrasin,
265,275,DL-Canavanine,
266,276,Carbamate,
267,277,Carbamic acid,
268,278,Carbamoyl phosphate,
269,279,Ureidosuccinic acid,
270,282,"3-(5,6-Dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid",
271,283,Formate,
272,284,Formic Acid,
273,285,(Aminooxy)acetate,
274,286,Aminooxyacetic acid,
275,287,"2-[(3,4-Dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid",
276,288,DL-Carnitine,
277,289,Catechol,
278,290,4-Amino-1-{5-o-[hydroxy(phosphonooxy)phosphoryl]pentofuranosyl}pyrimidin-2(1h)-one,
279,291,4-Amino-1-{5-O-[hydroxy({hydroxy[2-(trimethylazaniumyl)ethoxy]phosphoryl}oxy)phosphoryl]pentofuranosyl}pyrimidin-2(1H)-one,
280,292,"[5-(4-Amino-2-oxopyrimidin-1(2H)-yl)-3,4-dihydroxyoxolan-2-yl]methyl 3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl dihydrogen diphosphate (non-preferred name)",
281,293,4-Amino-1-{5-o-[{[(2-aminoethoxy)(hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]pentofuranosyl}pyrimidin-2(1h)-one,
282,294,Cellobiose,
283,295,CID 295,
284,296,2-Methyl-3-oxopropanoic acid,
285,297,Methane,
286,298,"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",
287,299,Chlordecone,
288,300,Chloroacetic acid,
289,301,Chlorohydroquinone,
290,302,"4-(3,12-Dihydroxy-10,13-dimethyl-7-oxo-1,2,3,4,5,6,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid",
291,303,"Cholan-24-oic acid, 3,7,12-trihydroxy-, (3alpha,5beta,7alpha,12alpha)-",
292,304,"2,15-Dimethyl-14-(6-methylheptan-2-yl)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-5-ol",
293,305,Choline,
294,306,"3-(1-Carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid",
295,307,3-Phenyl-propenal,
296,308,3-Phenyl-2-propenol,
297,309,Aconitic acid,
298,310,"2,4-Hexadienedioic acid, (2Z,4Z)-",
299,312,Chloride ion,
300,314,Cytosine arabinoside monophosphate,
301,315,"8-[[5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4,5,6,7-tetrahydroxy-2-oxooctanoic acid",
302,316,"5-Acetamido-2-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",
303,317,"[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate",
304,318,"Cobalt;3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide",
305,319,"3-[2,13,18-Tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide",
306,320,"3-Pentofuranosyl-3,4,7,8-tetrahydroimidazo[4,5-d][1,3]diazepin-8-ol",
307,321,coproporphyrinogen III,
308,322,"2-Propenoic acid, 3-(4-hydroxyphenyl)-, (2Z)-",
309,323,Coumarin,
310,324,"S-{1-[5-(6-Amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxolan-2-yl]-3,5,9-trihydroxy-8,8-dimethyl-3,5,10,14-tetraoxo-2,4,6-trioxa-11,15-diaza-3lambda~5~,5lambda~5~-diphosphaheptadecan-17-yl} 3-(4-hydroxyphenyl)prop-2-enethioate (non-preferred name)",
311,325,4-Isopropylbenzyl alcohol,
312,326,4-Isopropylbenzaldehyde,
313,327,CID 327,
314,328,4-Hydroxyphenylglycolic acid,
315,329,"(3,4-Dihydroxy-5-methylsulfanyl-2-oxo-pentoxy)phosphonic acid",
316,330,Cholest-8-en-3-ol,
317,331,"Hexanoic acid, 3,5-diamino-",
318,332,2-Methoxy-4-vinylphenol,
319,333,5-Amino-6 (5'phosphoribitylamino)uracil,
320,334,4-Cholesten-7-beta-OL-3-one,
321,335,o-Cresol,
322,336,Ureidoglycolic Acid,
323,337,"3,4,5-Trihydroxypentan-2-one",
324,339,(2-Aminoethyl)phosphonic acid,
325,340,3-Methylcatechol,
326,341,Digallic acid,
327,342,m-Cresol,
328,343,"2,4,5,6,7-Pentahydroxyhexahydro-2H-1,3,2lambda~5~-benzodioxaphosphol-2-one",
329,344,"3,4,5-Trihydroxycyclohexane-1,2-dione",
330,345,"But-2-ene-1,2,3-tricarboxylic acid",
331,346,p-Hydroxyphenyl beta-D-glucopyranoside,
332,347,"2-(Hydroxymethyl)-6-[3-(hydroxymethyl)phenoxy]oxane-3,4,5-triol",
333,348,"[3,4,5-Trihydroxy-6-(4-hydroxyphenoxy)oxan-2-yl]methyl dihydrogen phosphate",
334,349,a 3-Dehydropyranose,
335,350,3-Phosphonooxy-2-(7-sulfanylheptanoylamino)butanoic acid,
336,351,3-Phosphonooxy-2-[7-(2-sulfoethyldisulfanyl)heptanoylamino]butanoic acid,
337,352,"4-Amino-5-[[2-amino-6-[1,2-bis[(2-amino-4-carboxybutanoyl)oxy]propyl]-5,8-dihydropteridin-4-yl]oxy]-5-oxopentanoic acid",
338,353,"4-amino-5-[[2-amino-6-[1,2-bis[(2-amino-4-carboxybutanoyl)oxy]propyl]-5-methyl-8H-pteridin-4-yl]oxy]-5-oxopentanoic acid",
339,354,2-Oxohept-3-enedioic acid,
340,355,4-Hydroxyphenylglyoxylic acid,
341,356,Octane,
342,357,"1,3,4,6-Tetrachlorocyclohexa-1,4-diene",
343,358,5-Amino-3-oxohexanoic acid,
344,360,"3,8-Dimethyldec-7-enyl [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",
345,361,Dihydrophloroglucinol,
346,362,"1,2-Dihydronaphthalene-1,2-diol",
347,363,2-Aminoacetaldehyde,
348,364,"2,3-Diaminopropionic acid",
349,365,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] octadeca-9,12-dienethioate",
350,366,4-Methylumbelliferyl acetate,
351,367,CID 367,
352,368,Sym-homospermidine,
353,369,CID 369,
354,370,Gallic Acid,
355,371,Acetylenedicarboxylic acid,
356,372,"2-oxo-2H-pyran-4,6-dicarboxylic acid",
357,373,CID 373,
358,374,"4-Oxobut-2-ene-1,2,4-tricarboxylic acid",
359,375,Moraprenol 11,
360,376,3-Hydroxy-5-oxohexanoic acid,
361,377,"[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [3,8-dimethyldec-7-enoxy(hydroxy)phosphoryl] hydrogen phosphate",
362,378,4-Nitrophenyl phosphate,
363,379,Octanoic acid,
364,380,capryloyl-CoA,
365,381,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-5-oxohexanethioate",
366,382,4-Hydroxybenzoyl-coenzyme A; (Acyl-CoA); [M+H]+,
367,383,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanethioate",
